I,I0,beta
8.60E-07,1.60E-11,108.92098946
5.04E-06,4.20E-11,116.952470218
7.29E-06,3.80E-11,121.644279443
5.40E-07,7.60E-11,88.6859107825
2.50E-07,6.20E-11,83.020818118
7.09E-06,6.00E-11,116.798513363
6.32E-06,4.60E-11,118.305883696
1.89E-06,8.00E-12,123.726458454
4.98E-06,8.10E-11,110.264912943
1.63E-06,9.00E-11,98.0428090245
2.24E-06,3.00E-11,112.207890422
7.99E-06,9.80E-11,113.087338391
5.98E-06,3.50E-11,120.485830644
3.34E-06,3.00E-12,139.228690763
6.12E-06,5.30E-11,116.567807409
2.08E-06,8.90E-11,100.592420819
4.85E-06,4.40E-11,116.10299629
8.34E-06,9.40E-11,113.932789921
7.03E-06,6.30E-11,116.225625374
9.89E-06,7.70E-11,117.632292817
